2017-06-23-11:05:11 Scanning files for: licenses, copyrights with 8 process(es)...
2017-06-23-11:05:11 Building license detection index...
2017-06-23-03:06:03 Done.
2017-06-23-03:06:04 Scanning files...
2017-06-23-03:06:05 Scanned: libjson
2017-06-23-03:06:05 Scanned: ._JSONOptions.h
2017-06-23-03:06:05 Scanned: _internal
2017-06-23-03:06:05 Scanned: Getting+Started
2017-06-23-03:06:05 Scanned: TestSuite2
2017-06-23-03:06:05 Scanned: Source
2017-06-23-03:06:05 Scanned: Dependencies
2017-06-23-03:06:05 Scanned: TestSuite
2017-06-23-03:06:05 Scanned: License.txt
2017-06-23-03:06:05 Scanned: JSONValidator
2017-06-23-03:06:05 Scanned: JSONDebug
2017-06-23-03:06:05 Scanned: BaseTest.h
2017-06-23-03:06:05 Scanned: JSON_Base64
2017-06-23-03:06:05 Scanned: NumberToString
2017-06-23-03:06:05 Scanned: JSONGlobals
2017-06-23-03:06:05 Scanned: libjson.vcproj
2017-06-23-03:06:05 Scanned: libjson.vcproj%7E
2017-06-23-03:06:06 Scanned: libjson.h
2017-06-23-03:06:06 Scanned: isValidArray.h
2017-06-23-03:06:06 Scanned: isValidNamedObject.h
2017-06-23-03:06:06 Scanned: isValidRoot.cpp
2017-06-23-03:06:06 Scanned: securityTest.h
2017-06-23-03:06:06 Scanned: isValidPartialRoot.h
2017-06-23-03:06:06 Scanned: isValidMember.cpp
2017-06-23-03:06:06 Scanned: isValidNamedObject.cpp
2017-06-23-03:06:06 Scanned: securityTest.cpp
2017-06-23-03:06:06 Scanned: isValidString.cpp
2017-06-23-03:06:06 Scanned: JSONOptions.h
2017-06-23-03:06:06 Scanned: isValidObject.cpp
2017-06-23-03:06:06 Scanned: isValidObject.h
2017-06-23-03:06:06 Scanned: isValidNumber.h
2017-06-23-03:06:06 Scanned: isValidRoot.h
2017-06-23-03:06:06 Scanned: isValidPartialRoot.cpp
2017-06-23-03:06:06 Scanned: isValidString.h
2017-06-23-03:06:06 Scanned: makefile
2017-06-23-03:06:06 Scanned: isValidArray.cpp
2017-06-23-03:06:06 Scanned: isValidMember.h
2017-06-23-03:06:06 Scanned: validyMacros.h
2017-06-23-03:06:06 Scanned: JSON_FAIL.h
2017-06-23-03:06:06 Scanned: JSON_ASSERT.h
2017-06-23-03:06:06 Scanned: JSON_ASSERT.cpp
2017-06-23-03:06:06 Scanned: JSON_FAIL_SAFE.h
