2017-07-11-12:49:11 Scanning files for: licenses, copyrights with 8 process(es)...
2017-07-11-12:49:11 Building license detection index...
2017-07-11-04:50:02 Done.
2017-07-11-04:50:02 Scanning files...
2017-07-11-04:50:04 Scanned: CONTRIBUTING.md
2017-07-11-04:50:04 Scanned: NOTICE
2017-07-11-04:50:04 Scanned: kafka-trunk
2017-07-11-04:50:04 Scanned: gradle.properties
2017-07-11-04:50:04 Scanned: settings.gradle
2017-07-11-04:50:04 Scanned: HEADER
2017-07-11-04:50:05 Scanned: wrapper.gradle
2017-07-11-04:50:05 Scanned: jenkins.sh
2017-07-11-04:50:05 Scanned: README.md
2017-07-11-04:50:05 Scanned: release_notes.py
2017-07-11-04:50:05 Scanned: clients
2017-07-11-04:50:05 Scanned: core
2017-07-11-04:50:05 Scanned: tests
2017-07-11-04:50:05 Scanned: bin
2017-07-11-04:50:05 Scanned: gradle
2017-07-11-04:50:05 Scanned: jmh-benchmarks
2017-07-11-04:50:05 Scanned: config
2017-07-11-04:50:05 Scanned: release.py
2017-07-11-04:50:05 Scanned: tools
2017-07-11-04:50:05 Scanned: log4j-appender
2017-07-11-04:50:05 Scanned: .travis.yml
2017-07-11-04:50:05 Scanned: examples
2017-07-11-04:50:05 Scanned: checkstyle
2017-07-11-04:50:05 Scanned: connect
2017-07-11-04:50:05 Scanned: vagrant
2017-07-11-04:50:05 Scanned: kafka-merge-pr.py
2017-07-11-04:50:05 Scanned: docs
2017-07-11-04:50:05 Scanned: streams
2017-07-11-04:50:05 Scanned: test
2017-07-11-04:50:05 Scanned: resources
2017-07-11-04:50:05 Scanned: java
2017-07-11-04:50:05 Scanned: serializedData
2017-07-11-04:50:05 Scanned: src
2017-07-11-04:50:05 Scanned: main
2017-07-11-04:50:05 Scanned: offsetAndMe...ializedfile
2017-07-11-04:50:05 Scanned: org
2017-07-11-04:50:05 Scanned: topicPartit...ializedfile
2017-07-11-04:50:05 Scanned: apache
2017-07-11-04:50:05 Scanned: kafka
2017-07-11-04:50:05 Scanned: common
2017-07-11-04:50:05 Scanned: clients
2017-07-11-04:50:05 Scanned: test
2017-07-11-04:50:05 Scanned: Vagrantfile
2017-07-11-04:50:05 Scanned: log4j.properties
2017-07-11-04:50:05 Scanned: doap_Kafka.rdf
2017-07-11-04:50:06 Scanned: NodeApiVersionsTest.java
2017-07-11-04:50:06 Scanned: producer
2017-07-11-04:50:06 Scanned: admin
2017-07-11-04:50:06 Scanned: consumer
2017-07-11-04:50:06 Scanned: build.gradle
2017-07-11-04:50:06 Scanned: MockClient.java
2017-07-11-04:50:06 Scanned: ApiVersionsTest.java
2017-07-11-04:50:06 Scanned: NetworkClientTest.java
2017-07-11-04:50:06 Scanned: internals
2017-07-11-04:50:06 Scanned: ClientUtilsTest.java
2017-07-11-04:50:06 Scanned: RecordSendTest.java
2017-07-11-04:50:06 Scanned: MetadataTest.java
2017-07-11-04:50:06 Scanned: ProducerRecordTest.java
2017-07-11-04:50:06 Scanned: Producer...torsTest.java
2017-07-11-04:50:06 Scanned: MockProducerTest.java
2017-07-11-04:50:06 Scanned: ProducerBatchTest.java
2017-07-11-04:50:07 Scanned: KafkaProducerTest.java
2017-07-11-04:50:07 Scanned: Transact...agerTest.java
2017-07-11-04:50:07 Scanned: DefaultP...onerTest.java
