2017-07-06-17:15:46 Scanning files for: licenses, copyrights with 8 process(es)...
2017-07-06-17:15:46 Building license detection index...
2017-07-06-09:16:32 Done.
2017-07-06-09:16:32 Scanning files...
2017-07-06-09:16:33 Scanned: cJSON-master
2017-07-06-09:16:33 Scanned: CONTRIBUTORS.md
2017-07-06-09:16:33 Scanned: CMakeLists.txt
2017-07-06-09:16:33 Scanned: .travis.yml
2017-07-06-09:16:33 Scanned: LICENSE
2017-07-06-09:16:33 Scanned: cJSON_Utils.h
2017-07-06-09:16:33 Scanned: fuzzing
2017-07-06-09:16:33 Scanned: tests
2017-07-06-09:16:33 Scanned: .github
2017-07-06-09:16:33 Scanned: Makefile
2017-07-06-09:16:33 Scanned: library_config
2017-07-06-09:16:34 Scanned: json.dict
2017-07-06-09:16:34 Scanned: afl.sh
2017-07-06-09:16:34 Scanned: afl-prepare-linux.sh
2017-07-06-09:16:34 Scanned: cJSON.h
2017-07-06-09:16:34 Scanned: inputs
2017-07-06-09:16:34 Scanned: CMakeLists.txt
2017-07-06-09:16:34 Scanned: test.c
2017-07-06-09:16:34 Scanned: CHANGELOG.md
2017-07-06-09:16:34 Scanned: README.md
2017-07-06-09:16:34 Scanned: afl.c
2017-07-06-09:16:34 Scanned: test10
2017-07-06-09:16:34 Scanned: test5
2017-07-06-09:16:34 Scanned: test9
2017-07-06-09:16:34 Scanned: test1
2017-07-06-09:16:34 Scanned: cJSON_Utils.c
2017-07-06-09:16:34 Scanned: test3.bu
2017-07-06-09:16:34 Scanned: test6
2017-07-06-09:16:34 Scanned: test7
2017-07-06-09:16:34 Scanned: test3.uu
2017-07-06-09:16:34 Scanned: test2
2017-07-06-09:16:34 Scanned: test3
2017-07-06-09:16:34 Scanned: test8
2017-07-06-09:16:34 Scanned: test4
2017-07-06-09:16:34 Scanned: test11
2017-07-06-09:16:34 Scanned: test3.uf
2017-07-06-09:16:34 Scanned: parse_hex4.c
2017-07-06-09:16:35 Scanned: parse_examples.c
2017-07-06-09:16:35 Scanned: parse_array.c
2017-07-06-09:16:35 Scanned: old_utils_tests.c
2017-07-06-09:16:35 Scanned: misc_tests.c
2017-07-06-09:16:35 Scanned: parse_value.c
2017-07-06-09:16:35 Scanned: parse_number.c
2017-07-06-09:16:35 Scanned: print_value.c
2017-07-06-09:16:35 Scanned: print_string.c
2017-07-06-09:16:35 Scanned: CMakeLists.txt
2017-07-06-09:16:35 Scanned: parse_object.c
2017-07-06-09:16:35 Scanned: cJSON.c
2017-07-06-09:16:35 Scanned: parse_string.c
2017-07-06-09:16:35 Scanned: common.c
2017-07-06-09:16:35 Scanned: compare_tests.c
2017-07-06-09:16:35 Scanned: json-patch-tests
2017-07-06-09:16:35 Scanned: parse_with_opts.c
2017-07-06-09:16:35 Scanned: unity
2017-07-06-09:16:35 Scanned: inputs
2017-07-06-09:16:35 Scanned: common.h
2017-07-06-09:16:35 Scanned: auto
2017-07-06-09:16:35 Scanned: src
2017-07-06-09:16:35 Scanned: release
2017-07-06-09:16:35 Scanned: examples
2017-07-06-09:16:35 Scanned: test
2017-07-06-09:16:35 Scanned: extras
2017-07-06-09:16:35 Scanned: docs
2017-07-06-09:16:35 Scanned: json_patch_tests.c
2017-07-06-09:16:35 Scanned: .travis.yml
2017-07-06-09:16:35 Scanned: print_array.c
2017-07-06-09:16:35 Scanned: generate_config.yml
2017-07-06-09:16:35 Scanned: print_object.c
2017-07-06-09:16:35 Scanned: print_number.c
2017-07-06-09:16:35 Scanned: test_file_filter.rb
2017-07-06-09:16:36 Scanned: colour_reporter.rb
2017-07-06-09:16:36 Scanned: unity_test_summary.py
2017-07-06-09:16:36 Scanned: stylize_as_junit.rb
2017-07-06-09:16:36 Scanned: unity_test_summary.rb
2017-07-06-09:16:36 Scanned: unity_to_junit.py
2017-07-06-09:16:36 Scanned: README.md
2017-07-06-09:16:36 Scanned: colour_prompt.rb
2017-07-06-09:16:36 Scanned: type_sanitizer.rb
2017-07-06-09:16:36 Scanned: example_3
2017-07-06-09:16:36 Scanned: example_2
2017-07-06-09:16:36 Scanned: example_1
2017-07-06-09:16:36 Scanned: parse_output.rb
2017-07-06-09:16:36 Scanned: rakefile.rb
2017-07-06-09:16:36 Scanned: readme.txt
2017-07-06-09:16:36 Scanned: target_gcc_32.yml
2017-07-06-09:16:36 Scanned: helper
2017-07-06-09:16:36 Scanned: src
2017-07-06-09:16:36 Scanned: test
2017-07-06-09:16:36 Scanned: generate_module.rb
2017-07-06-09:16:36 Scanned: UnityHelper.c
2017-07-06-09:16:36 Scanned: UnityHelper.h
2017-07-06-09:16:36 Scanned: ProductionCode.h
2017-07-06-09:16:36 Scanned: ProductionCode2.h
2017-07-06-09:16:36 Scanned: generate_test_runner.rb
2017-07-06-09:16:36 Scanned: ProductionCode2.c
2017-07-06-09:16:36 Scanned: ProductionCode.c
2017-07-06-09:16:36 Scanned: TestProductionCode2.c
2017-07-06-09:16:36 Scanned: readme.txt
2017-07-06-09:16:36 Scanned: src
2017-07-06-09:16:36 Scanned: rakefile_helper.rb
2017-07-06-09:16:36 Scanned: test
2017-07-06-09:16:36 Scanned: ProductionCode.c
2017-07-06-09:16:36 Scanned: ProductionCode.h
2017-07-06-09:16:36 Scanned: ProductionCode2.c
2017-07-06-09:16:36 Scanned: ProductionCode2.h
2017-07-06-09:16:37 Scanned: makefile
2017-07-06-09:16:37 Scanned: test_runners
2017-07-06-09:16:37 Scanned: TestProductionCode.c
2017-07-06-09:16:37 Scanned: TestProductionCode2.c
2017-07-06-09:16:37 Scanned: TestProduc...ode_Runner.c
2017-07-06-09:16:37 Scanned: all_tests.c
2017-07-06-09:16:37 Scanned: TestProduc...de2_Runner.c
2017-07-06-09:16:37 Scanned: src
2017-07-06-09:16:37 Scanned: test
2017-07-06-09:16:37 Scanned: readme.txt
2017-07-06-09:16:37 Scanned: ProductionCode.h
2017-07-06-09:16:37 Scanned: ProductionCode2.h
2017-07-06-09:16:37 Scanned: makefile
2017-07-06-09:16:37 Scanned: TestProductionCode.c
2017-07-06-09:16:37 Scanned: ProductionCode2.c
2017-07-06-09:16:37 Scanned: test_runners
2017-07-06-09:16:37 Scanned: unity_config.h
2017-07-06-09:16:37 Scanned: ProductionCode.c
2017-07-06-09:16:37 Scanned: TestProductionCode2.c
2017-07-06-09:16:37 Scanned: TestProduc...de2_Runner.c
2017-07-06-09:16:37 Scanned: build.info
2017-07-06-09:16:37 Scanned: TestProduc...ode_Runner.c
2017-07-06-09:16:37 Scanned: unity.c
2017-07-06-09:16:37 Scanned: TestProductionCode.c
2017-07-06-09:16:37 Scanned: tests
2017-07-06-09:16:37 Scanned: spec
2017-07-06-09:16:37 Scanned: targets
2017-07-06-09:16:37 Scanned: testdata
2017-07-06-09:16:37 Scanned: expectdata
2017-07-06-09:16:37 Scanned: .rubocop.yml
2017-07-06-09:16:37 Scanned: Makefile
2017-07-06-09:16:37 Scanned: rakefile
2017-07-06-09:16:37 Scanned: version.info
2017-07-06-09:16:37 Scanned: testparameterized.c
2017-07-06-09:16:37 Scanned: gcc_auto_limits.yml
2017-07-06-09:16:37 Scanned: generate_...file_spec.rb
2017-07-06-09:16:37 Scanned: rakefile_helper.rb
2017-07-06-09:16:37 Scanned: iar_msp430.yml
2017-07-06-09:16:37 Scanned: gcc_auto_stdint.yml
2017-07-06-09:16:37 Scanned: iar_arm_v4.yml
2017-07-06-09:16:38 Scanned: clang_strict.yml
2017-07-06-09:16:38 Scanned: iar_cortexm3_v5.yml
2017-07-06-09:16:38 Scanned: iar_armco...9B92_v5_4.yml
2017-07-06-09:16:38 Scanned: clang_file.yml
2017-07-06-09:16:38 Scanned: iar_arm_v5.yml
2017-07-06-09:16:38 Scanned: gcc_manual_math.yml
2017-07-06-09:16:38 Scanned: gcc_32.yml
2017-07-06-09:16:38 Scanned: gcc_64.yml
2017-07-06-09:16:38 Scanned: iar_arm_v5_3.yml
2017-07-06-09:16:38 Scanned: iar_sh2a_v6.yml
2017-07-06-09:16:38 Scanned: Defs.h
2017-07-06-09:16:38 Scanned: hitech_picc18.yml
2017-07-06-09:16:38 Scanned: cmock.h
2017-07-06-09:16:38 Scanned: CException.h
2017-07-06-09:16:38 Scanned: mockMock.h
2017-07-06-09:16:38 Scanned: testRunner...ratorSmall.c
2017-07-06-09:16:38 Scanned: testsample_head1.h
2017-07-06-09:16:38 Scanned: testsample_mock_run2.c
2017-07-06-09:16:38 Scanned: testRunnerGenerator.c
2017-07-06-09:16:38 Scanned: testsample_run2.c
2017-07-06-09:16:38 Scanned: testsample_mock_new2.c
2017-07-06-09:16:38 Scanned: testRunner...rWithMocks.c
2017-07-06-09:16:38 Scanned: testsample_mock_cmd.c
2017-07-06-09:16:38 Scanned: testsample_new1.c
2017-07-06-09:16:38 Scanned: testsample_mock_head1.h
2017-07-06-09:16:38 Scanned: testsample_head1.c
2017-07-06-09:16:38 Scanned: testsample_mock_run1.c
2017-07-06-09:16:38 Scanned: testsample_cmd.c
2017-07-06-09:16:38 Scanned: testsample_mock_new1.c
2017-07-06-09:16:38 Scanned: testsample_yaml.c
2017-07-06-09:16:38 Scanned: testsample_mock_def.c
2017-07-06-09:16:38 Scanned: testsample_run1.c
2017-07-06-09:16:38 Scanned: testsample_new2.c
2017-07-06-09:16:38 Scanned: test_gene...st_runner.rb
2017-07-06-09:16:38 Scanned: testsample_def.c
2017-07-06-09:16:38 Scanned: testsample_param.c
2017-07-06-09:16:38 Scanned: eclipse
2017-07-06-09:16:38 Scanned: testsample_mock_yaml.c
2017-07-06-09:16:38 Scanned: fixture
2017-07-06-09:16:38 Scanned: testsample_mock_head1.c
2017-07-06-09:16:38 Scanned: rakefile.rb
2017-07-06-09:16:38 Scanned: src
2017-07-06-09:16:38 Scanned: testsample_mock_param.c
2017-07-06-09:16:38 Scanned: test
2017-07-06-09:16:38 Scanned: readme.txt
2017-07-06-09:16:39 Scanned: unity_fixture_internals.h
2017-07-06-09:16:39 Scanned: error_parsers.txt
2017-07-06-09:16:39 Scanned: template_fixture_tests.c
2017-07-06-09:16:39 Scanned: unity_fixt..._overrides.h
2017-07-06-09:16:39 Scanned: unity_fixture.h
2017-07-06-09:16:39 Scanned: rakefile_helper.rb
2017-07-06-09:16:39 Scanned: unity_fixture.c
2017-07-06-09:16:39 Scanned: unity_output_Spy.h
2017-07-06-09:16:39 Scanned: main
2017-07-06-09:16:39 Scanned: unity_output_Spy.c
2017-07-06-09:16:39 Scanned: unity_fixt...TestRunner.c
2017-07-06-09:16:39 Scanned: AllTests.c
2017-07-06-09:16:39 Scanned: Makefile
2017-07-06-09:16:39 Scanned: unity_internals.h
2017-07-06-09:16:39 Scanned: license.txt
2017-07-06-09:16:40 Scanned: unity_fixture_Test.c
2017-07-06-09:16:40 Scanned: UnityHelp...iptsGuide.md
2017-07-06-09:16:40 Scanned: package.json
2017-07-06-09:16:40 Scanned: ThrowTheS...gStandard.md
2017-07-06-09:16:40 Scanned: UnityConf...tionGuide.md
2017-07-06-09:16:40 Scanned: README.md
2017-07-06-09:16:40 Scanned: UnityGett...rtedGuide.md
2017-07-06-09:16:40 Scanned: .npmignore
2017-07-06-09:16:40 Scanned: .editorconfig
2017-07-06-09:16:40 Scanned: spec_tests.json
2017-07-06-09:16:40 Scanned: test9
2017-07-06-09:16:40 Scanned: cjson-utils-tests.json
2017-07-06-09:16:40 Scanned: test7.expected
2017-07-06-09:16:40 Scanned: test5
2017-07-06-09:16:40 Scanned: test11.expected
2017-07-06-09:16:40 Scanned: test10.expected
2017-07-06-09:16:40 Scanned: test5.expected
2017-07-06-09:16:40 Scanned: UnityAsse...Reference.md
2017-07-06-09:16:40 Scanned: test9.expected
2017-07-06-09:16:40 Scanned: test11
2017-07-06-09:16:40 Scanned: test10
2017-07-06-09:16:40 Scanned: test7
2017-07-06-09:16:40 Scanned: test8.expected
