2017-07-06-17:21:41 Scanning files for: licenses, copyrights with 8 process(es)...
2017-07-06-17:21:41 Building license detection index...
2017-07-06-09:22:26 Done.
2017-07-06-09:22:26 Scanning files...
2017-07-06-09:22:27 Scanned: cJSON-master
2017-07-06-09:22:27 Scanned: CONTRIBUTORS.md
2017-07-06-09:22:27 Scanned: CMakeLists.txt
2017-07-06-09:22:27 Scanned: .travis.yml
2017-07-06-09:22:28 Scanned: LICENSE
2017-07-06-09:22:28 Scanned: cJSON_Utils.h
2017-07-06-09:22:28 Scanned: fuzzing
2017-07-06-09:22:28 Scanned: Makefile
2017-07-06-09:22:28 Scanned: tests
2017-07-06-09:22:28 Scanned: .github
2017-07-06-09:22:28 Scanned: library_config
2017-07-06-09:22:28 Scanned: json.dict
2017-07-06-09:22:28 Scanned: afl-prepare-linux.sh
2017-07-06-09:22:28 Scanned: cJSON.h
2017-07-06-09:22:28 Scanned: test.c
2017-07-06-09:22:28 Scanned: inputs
2017-07-06-09:22:28 Scanned: CMakeLists.txt
2017-07-06-09:22:28 Scanned: README.md
2017-07-06-09:22:28 Scanned: CHANGELOG.md
2017-07-06-09:22:28 Scanned: test5
2017-07-06-09:22:28 Scanned: afl.sh
2017-07-06-09:22:28 Scanned: test10
2017-07-06-09:22:28 Scanned: test11
2017-07-06-09:22:28 Scanned: test1
2017-07-06-09:22:28 Scanned: afl.c
2017-07-06-09:22:28 Scanned: cJSON_Utils.c
2017-07-06-09:22:28 Scanned: test6
2017-07-06-09:22:28 Scanned: test3
2017-07-06-09:22:28 Scanned: test9
2017-07-06-09:22:28 Scanned: test4
2017-07-06-09:22:28 Scanned: test7
2017-07-06-09:22:29 Scanned: test2
2017-07-06-09:22:29 Scanned: test8
2017-07-06-09:22:29 Scanned: test3.uf
2017-07-06-09:22:29 Scanned: test3.bu
2017-07-06-09:22:29 Scanned: parse_hex4.c
2017-07-06-09:22:29 Scanned: test3.uu
2017-07-06-09:22:29 Scanned: parse_examples.c
2017-07-06-09:22:29 Scanned: parse_array.c
2017-07-06-09:22:29 Scanned: old_utils_tests.c
2017-07-06-09:22:29 Scanned: parse_value.c
2017-07-06-09:22:29 Scanned: print_string.c
2017-07-06-09:22:29 Scanned: parse_number.c
