2017-07-06-17:17:34 Scanning files for: licenses, copyrights with 8 process(es)...
2017-07-06-17:17:34 Building license detection index...
2017-07-06-09:18:19 Done.
2017-07-06-09:18:19 Scanning files...
2017-07-06-09:18:19 Scanned: cJSON-master
2017-07-06-09:18:20 Scanned: CONTRIBUTORS.md
2017-07-06-09:18:20 Scanned: CMakeLists.txt
2017-07-06-09:18:20 Scanned: .travis.yml
2017-07-06-09:18:20 Scanned: LICENSE
2017-07-06-09:18:20 Scanned: cJSON_Utils.h
2017-07-06-09:18:20 Scanned: Makefile
2017-07-06-09:18:20 Scanned: fuzzing
2017-07-06-09:18:20 Scanned: .github
2017-07-06-09:18:20 Scanned: library_config
2017-07-06-09:18:20 Scanned: tests
2017-07-06-09:18:20 Scanned: afl-prepare-linux.sh
2017-07-06-09:18:20 Scanned: afl.sh
2017-07-06-09:18:20 Scanned: CMakeLists.txt
2017-07-06-09:18:20 Scanned: cJSON.h
2017-07-06-09:18:20 Scanned: inputs
2017-07-06-09:18:20 Scanned: test.c
2017-07-06-09:18:20 Scanned: json.dict
2017-07-06-09:18:20 Scanned: test3.bu
2017-07-06-09:18:21 Scanned: README.md
2017-07-06-09:18:21 Scanned: CHANGELOG.md
2017-07-06-09:18:21 Scanned: test7
2017-07-06-09:18:21 Scanned: afl.c
2017-07-06-09:18:21 Scanned: test1
2017-07-06-09:18:21 Scanned: test6
2017-07-06-09:18:21 Scanned: test9
2017-07-06-09:18:21 Scanned: test5
2017-07-06-09:18:21 Scanned: test10
2017-07-06-09:18:21 Scanned: test3.uu
2017-07-06-09:18:21 Scanned: cJSON_Utils.c
2017-07-06-09:18:21 Scanned: test3.uf
2017-07-06-09:18:21 Scanned: test2
2017-07-06-09:18:21 Scanned: test3
2017-07-06-09:18:21 Scanned: test8
2017-07-06-09:18:21 Scanned: test11
2017-07-06-09:18:21 Scanned: parse_hex4.c
2017-07-06-09:18:21 Scanned: parse_value.c
2017-07-06-09:18:21 Scanned: test4
2017-07-06-09:18:21 Scanned: parse_examples.c
