2017-06-23-09:12:57 Scanning files for: licenses, copyrights with 8 process(es)...
2017-06-23-09:12:57 Building license detection index...
2017-06-23-01:13:59 Done.
2017-06-23-01:14:00 Scanning files...
2017-06-23-01:14:01 Scanned: libjson
2017-06-23-01:14:01 Scanned: ._JSONOptions.h
2017-06-23-01:14:01 Scanned: _internal
2017-06-23-01:14:01 Scanned: Getting+Started
2017-06-23-01:14:01 Scanned: TestSuite2
2017-06-23-01:14:01 Scanned: Source
2017-06-23-01:14:01 Scanned: Dependencies
2017-06-23-01:14:01 Scanned: TestSuite
2017-06-23-01:14:02 Scanned: License.txt
2017-06-23-01:14:02 Scanned: JSONValidator
2017-06-23-01:14:02 Scanned: JSONDebug
2017-06-23-01:14:02 Scanned: JSON_Base64
2017-06-23-01:14:02 Scanned: NumberToString
2017-06-23-01:14:02 Scanned: JSONGlobals
2017-06-23-01:14:02 Scanned: BaseTest.h
2017-06-23-01:14:02 Scanned: libjson.vcproj
2017-06-23-01:14:02 Scanned: libjson.h
2017-06-23-01:14:02 Scanned: libjson.vcproj%7E
2017-06-23-01:14:02 Scanned: isValidNamedObject.cpp
2017-06-23-01:14:02 Scanned: securityTest.h
2017-06-23-01:14:02 Scanned: isValidRoot.cpp
2017-06-23-01:14:02 Scanned: isValidNamedObject.h
2017-06-23-01:14:02 Scanned: isValidArray.h
2017-06-23-01:14:02 Scanned: JSONOptions.h
2017-06-23-01:14:02 Scanned: isValidPartialRoot.h
2017-06-23-01:14:02 Scanned: isValidMember.cpp
2017-06-23-01:14:02 Scanned: isValidNumber.h
2017-06-23-01:14:02 Scanned: isValidObject.h
2017-06-23-01:14:02 Scanned: isValidObject.cpp
2017-06-23-01:14:02 Scanned: isValidString.cpp
2017-06-23-01:14:02 Scanned: makefile
2017-06-23-01:14:02 Scanned: securityTest.cpp
2017-06-23-01:14:02 Scanned: isValidRoot.h
2017-06-23-01:14:02 Scanned: isValidPartialRoot.cpp
2017-06-23-01:14:02 Scanned: isValidString.h
2017-06-23-01:14:02 Scanned: Resources
2017-06-23-01:14:02 Scanned: isValidArray.cpp
2017-06-23-01:14:02 Scanned: isValidMember.h
2017-06-23-01:14:02 Scanned: JSON_ASSERT.h
2017-06-23-01:14:02 Scanned: JSON_FAIL.h
2017-06-23-01:14:02 Scanned: validyMacros.h
2017-06-23-01:14:02 Scanned: JSON_ASSERT.cpp
2017-06-23-01:14:02 Scanned: JSON_ASSERT_SAFE.cpp
2017-06-23-01:14:02 Scanned: JSON_FAIL.cpp
2017-06-23-01:14:02 Scanned: JSON_FAIL_SAFE.cpp
2017-06-23-01:14:02 Scanned: JSON_ASSERT_SAFE.h
2017-06-23-01:14:02 Scanned: json_decode64.h
2017-06-23-01:14:02 Scanned: json_decode64.cpp
2017-06-23-01:14:02 Scanned: json_encode64.cpp
2017-06-23-01:14:02 Scanned: json_encode64.h
2017-06-23-01:14:02 Scanned: _ftoa.h
2017-06-23-01:14:03 Scanned: _uitoa.h
2017-06-23-01:14:03 Scanned: validyMacros.h%7E
2017-06-23-01:14:03 Scanned: JSON_FAIL_SAFE.h
2017-06-23-01:14:03 Scanned: _ftoa.cpp
2017-06-23-01:14:03 Scanned: getLenSize.h
2017-06-23-01:14:03 Scanned: _areFloatsEqual.cpp
2017-06-23-01:14:03 Scanned: _itoa.h
