2017-06-23-12:15:04 Scanning files for: licenses, copyrights with 8 process(es)...
2017-06-23-12:15:04 Building license detection index...
2017-06-23-04:16:00 Done.
2017-06-23-04:16:01 Scanning files...
2017-06-23-04:16:02 Scanned: libjson
2017-06-23-04:16:02 Scanned: ._JSONOptions.h
2017-06-23-04:16:02 Scanned: _internal
2017-06-23-04:16:02 Scanned: Getting+Started
2017-06-23-04:16:02 Scanned: TestSuite2
2017-06-23-04:16:02 Scanned: Source
2017-06-23-04:16:02 Scanned: Dependencies
2017-06-23-04:16:02 Scanned: TestSuite
2017-06-23-04:16:03 Scanned: BaseTest.h
2017-06-23-04:16:03 Scanned: License.txt
2017-06-23-04:16:03 Scanned: JSONValidator
2017-06-23-04:16:03 Scanned: JSONDebug
2017-06-23-04:16:03 Scanned: JSON_Base64
2017-06-23-04:16:03 Scanned: NumberToString
2017-06-23-04:16:03 Scanned: JSONGlobals
2017-06-23-04:16:03 Scanned: isValidNamedObject.cpp
2017-06-23-04:16:03 Scanned: libjson.vcproj%7E
2017-06-23-04:16:03 Scanned: libjson.vcproj
2017-06-23-04:16:03 Scanned: libjson.h
2017-06-23-04:16:03 Scanned: securityTest.h
2017-06-23-04:16:03 Scanned: isValidNamedObject.h
2017-06-23-04:16:03 Scanned: isValidRoot.cpp
2017-06-23-04:16:03 Scanned: isValidPartialRoot.h
2017-06-23-04:16:03 Scanned: isValidArray.h
2017-06-23-04:16:03 Scanned: makefile
2017-06-23-04:16:03 Scanned: JSONOptions.h
2017-06-23-04:16:03 Scanned: isValidObject.h
2017-06-23-04:16:03 Scanned: isValidMember.cpp
2017-06-23-04:16:03 Scanned: isValidObject.cpp
2017-06-23-04:16:03 Scanned: securityTest.cpp
2017-06-23-04:16:03 Scanned: isValidNumber.h
2017-06-23-04:16:03 Scanned: isValidRoot.h
2017-06-23-04:16:03 Scanned: isValidString.cpp
2017-06-23-04:16:03 Scanned: isValidString.h
2017-06-23-04:16:03 Scanned: Resources
2017-06-23-04:16:03 Scanned: isValidMember.h
2017-06-23-04:16:03 Scanned: isValidPartialRoot.cpp
2017-06-23-04:16:03 Scanned: isValidArray.cpp
2017-06-23-04:16:03 Scanned: JSON_FAIL.h
2017-06-23-04:16:03 Scanned: JSON_ASSERT.h
2017-06-23-04:16:03 Scanned: validyMacros.h
2017-06-23-04:16:04 Scanned: JSON_ASSERT.cpp
2017-06-23-04:16:04 Scanned: JSON_FAIL_SAFE.h
2017-06-23-04:16:04 Scanned: JSON_FAIL.cpp
2017-06-23-04:16:04 Scanned: JSON_ASSERT_SAFE.h
2017-06-23-04:16:04 Scanned: JSON_ASSERT_SAFE.cpp
2017-06-23-04:16:04 Scanned: json_decode64.cpp
2017-06-23-04:16:04 Scanned: JSON_FAIL_SAFE.cpp
2017-06-23-04:16:04 Scanned: json_decode64.h
2017-06-23-04:16:04 Scanned: json_encode64.h
2017-06-23-04:16:04 Scanned: _ftoa.h
2017-06-23-04:16:04 Scanned: json_encode64.cpp
2017-06-23-04:16:04 Scanned: _uitoa.h
2017-06-23-04:16:04 Scanned: getLenSize.h
2017-06-23-04:16:04 Scanned: _ftoa.cpp
2017-06-23-04:16:04 Scanned: _itoa.h
2017-06-23-04:16:04 Scanned: _areFloatsEqual.cpp
2017-06-23-04:16:04 Scanned: isNumeric.h
2017-06-23-04:16:04 Scanned: validyMacros.h%7E
2017-06-23-04:16:04 Scanned: _uitoa.cpp
2017-06-23-04:16:04 Scanned: getLenSize.cpp
2017-06-23-04:16:04 Scanned: _itoa.cpp
2017-06-23-04:16:04 Scanned: _areFloatsEqual.h
2017-06-23-04:16:04 Scanned: _atof.h
2017-06-23-04:16:04 Scanned: ._JSONWorker.cpp
2017-06-23-04:16:04 Scanned: jsonSingleton.h
2017-06-23-04:16:04 Scanned: ._JSONValidator.h
2017-06-23-04:16:04 Scanned: jsonSingleton.cpp
2017-06-23-04:16:04 Scanned: ._JSONGlobals.h
2017-06-23-04:16:04 Scanned: _atof.cpp
2017-06-23-04:16:04 Scanned: JSONStats.h
2017-06-23-04:16:04 Scanned: JSON_Base64.h
2017-06-23-04:16:05 Scanned: ._JSONNode_Mutex.cpp
2017-06-23-04:16:05 Scanned: JSONPreparse.cpp
2017-06-23-04:16:05 Scanned: ._libjson.cpp
2017-06-23-04:16:05 Scanned: JSONDefs.h
2017-06-23-04:16:05 Scanned: ._JSONAllocator.h
2017-06-23-04:16:05 Scanned: JSONNode.cpp
2017-06-23-04:16:05 Scanned: ._JSON_Base64.h
2017-06-23-04:16:05 Scanned: ._JSONSharedString.h
2017-06-23-04:16:05 Scanned: isNumeric.cpp
2017-06-23-04:16:05 Scanned: JSONMemory.cpp
2017-06-23-04:16:05 Scanned: JSONIterators.cpp
2017-06-23-04:16:05 Scanned: ._JSONChildren.h
2017-06-23-04:16:05 Scanned: JSONValidator.h
2017-06-23-04:16:05 Scanned: ._JSONNode.h
2017-06-23-04:16:05 Scanned: ._JSONMemory.h
2017-06-23-04:16:05 Scanned: JSONAllocator.cpp
2017-06-23-04:16:05 Scanned: ._JSONPreparse.cpp
2017-06-23-04:16:05 Scanned: isValidNumber.cpp
2017-06-23-04:16:05 Scanned: ._JSONSingleton.h
2017-06-23-04:16:05 Scanned: ._JSONStats.h
2017-06-23-04:16:05 Scanned: JSONStream.cpp
2017-06-23-04:16:05 Scanned: ._JSONDefs.h
2017-06-23-04:16:05 Scanned: JSONAllocator.h
2017-06-23-04:16:05 Scanned: JSONChildren.cpp
2017-06-23-04:16:05 Scanned: ._JSONStream.cpp
2017-06-23-04:16:05 Scanned: ._JSONDefs
2017-06-23-04:16:05 Scanned: JSONDebug.h
2017-06-23-04:16:05 Scanned: ._internalJSONNode.cpp
2017-06-23-04:16:05 Scanned: JSONWorker.h
2017-06-23-04:16:05 Scanned: ._JSONChildren.cpp
2017-06-23-04:16:05 Scanned: NumberToString.h
2017-06-23-04:16:05 Scanned: JSONDebug.cpp
2017-06-23-04:16:05 Scanned: ._NumberToString.h
2017-06-23-04:16:05 Scanned: ._JSONMemory.cpp
2017-06-23-04:16:05 Scanned: JSONSharedString.h
2017-06-23-04:16:05 Scanned: JSONNode.h
2017-06-23-04:16:05 Scanned: JSONSingleton.h
2017-06-23-04:16:05 Scanned: JSONMemory.h
2017-06-23-04:16:05 Scanned: ._JSONNode.cpp
2017-06-23-04:16:05 Scanned: libjson.cpp
2017-06-23-04:16:06 Scanned: ._JSONStream.h
2017-06-23-04:16:06 Scanned: JSONNode_Mutex.cpp
2017-06-23-04:16:06 Scanned: JSONMemoryPool.h
2017-06-23-04:16:06 Scanned: JSONGlobals.h
2017-06-23-04:16:06 Scanned: JSONPreparse.h
2017-06-23-04:16:06 Scanned: ._JSONDebug.h
2017-06-23-04:16:06 Scanned: ._internalJSONNode.h
2017-06-23-04:16:06 Scanned: ._JSONAllocator.cpp
2017-06-23-04:16:06 Scanned: JSONValidator.cpp
2017-06-23-04:16:06 Scanned: ._JSONMemoryPool.h
2017-06-23-04:16:06 Scanned: ._JSONIterators.cpp
2017-06-23-04:16:06 Scanned: ._JSONWriter.cpp
2017-06-23-04:16:06 Scanned: ._JSONWorker.h
