2017-06-23-12:38:12 Scanning files for: licenses, copyrights with 8 process(es)...
2017-06-23-12:38:12 Building license detection index...
2017-06-23-04:39:07 Done.
2017-06-23-04:39:08 Scanning files...
2017-06-23-04:39:08 Scanned: cJSON-master
2017-06-23-04:39:08 Scanned: CONTRIBUTORS.md
2017-06-23-04:39:09 Scanned: CMakeLists.txt
2017-06-23-04:39:09 Scanned: .travis.yml
2017-06-23-04:39:09 Scanned: LICENSE
2017-06-23-04:39:09 Scanned: cJSON_Utils.h
2017-06-23-04:39:09 Scanned: fuzzing
2017-06-23-04:39:09 Scanned: tests
2017-06-23-04:39:09 Scanned: Makefile
2017-06-23-04:39:09 Scanned: .github
2017-06-23-04:39:09 Scanned: library_config
2017-06-23-04:39:09 Scanned: afl-prepare-linux.sh
2017-06-23-04:39:09 Scanned: afl.sh
2017-06-23-04:39:09 Scanned: CMakeLists.txt
2017-06-23-04:39:09 Scanned: cJSON.h
2017-06-23-04:39:09 Scanned: inputs
2017-06-23-04:39:10 Scanned: json.dict
2017-06-23-04:39:10 Scanned: test.c
2017-06-23-04:39:10 Scanned: test5
2017-06-23-04:39:10 Scanned: CHANGELOG.md
2017-06-23-04:39:10 Scanned: README.md
2017-06-23-04:39:10 Scanned: afl.c
2017-06-23-04:39:10 Scanned: test7
2017-06-23-04:39:10 Scanned: test9
2017-06-23-04:39:10 Scanned: cJSON_Utils.c
2017-06-23-04:39:10 Scanned: test10
2017-06-23-04:39:10 Scanned: test6
2017-06-23-04:39:10 Scanned: test11
2017-06-23-04:39:10 Scanned: test4
2017-06-23-04:39:10 Scanned: test2
2017-06-23-04:39:10 Scanned: test3.bu
2017-06-23-04:39:10 Scanned: test3
2017-06-23-04:39:10 Scanned: test8
2017-06-23-04:39:10 Scanned: test3.uu
2017-06-23-04:39:10 Scanned: test1
2017-06-23-04:39:11 Scanned: test3.uf
2017-06-23-04:39:11 Scanned: parse_value.c
2017-06-23-04:39:11 Scanned: parse_hex4.c
2017-06-23-04:39:11 Scanned: parse_examples.c
2017-06-23-04:39:11 Scanned: parse_array.c
2017-06-23-04:39:11 Scanned: print_string.c
2017-06-23-04:39:11 Scanned: print_value.c
2017-06-23-04:39:11 Scanned: parse_number.c
2017-06-23-04:39:11 Scanned: old_utils_tests.c
2017-06-23-04:39:11 Scanned: misc_tests.c
2017-06-23-04:39:11 Scanned: cJSON.c
2017-06-23-04:39:11 Scanned: CMakeLists.txt
