2017-07-11-13:01:33 Scanning files for: licenses, copyrights with 8 process(es)...
2017-07-11-13:01:33 Building license detection index...
2017-07-11-05:02:18 Done.
2017-07-11-05:02:18 Scanning files...
2017-07-11-05:02:19 Scanned: CONTRIBUTING.md
2017-07-11-05:02:19 Scanned: NOTICE
2017-07-11-05:02:19 Scanned: gradle.properties
2017-07-11-05:02:19 Scanned: wrapper.gradle
2017-07-11-05:02:20 Scanned: kafka-trunk
2017-07-11-05:02:20 Scanned: README.md
2017-07-11-05:02:20 Scanned: release_notes.py
2017-07-11-05:02:20 Scanned: settings.gradle
2017-07-11-05:02:20 Scanned: jenkins.sh
2017-07-11-05:02:20 Scanned: HEADER
2017-07-11-05:02:20 Scanned: clients
2017-07-11-05:02:20 Scanned: core
2017-07-11-05:02:20 Scanned: tests
2017-07-11-05:02:20 Scanned: bin
2017-07-11-05:02:20 Scanned: gradle
2017-07-11-05:02:20 Scanned: jmh-benchmarks
2017-07-11-05:02:20 Scanned: config
2017-07-11-05:02:20 Scanned: tools
2017-07-11-05:02:20 Scanned: connect
2017-07-11-05:02:20 Scanned: .travis.yml
2017-07-11-05:02:20 Scanned: log4j-appender
2017-07-11-05:02:20 Scanned: examples
2017-07-11-05:02:20 Scanned: streams
2017-07-11-05:02:20 Scanned: vagrant
2017-07-11-05:02:20 Scanned: Vagrantfile
2017-07-11-05:02:20 Scanned: kafka-merge-pr.py
2017-07-11-05:02:20 Scanned: docs
2017-07-11-05:02:20 Scanned: release.py
2017-07-11-05:02:20 Scanned: checkstyle
2017-07-11-05:02:20 Scanned: java
2017-07-11-05:02:20 Scanned: resources
2017-07-11-05:02:20 Scanned: test
2017-07-11-05:02:20 Scanned: main
2017-07-11-05:02:20 Scanned: src
2017-07-11-05:02:20 Scanned: org
2017-07-11-05:02:20 Scanned: serializedData
2017-07-11-05:02:20 Scanned: offsetAndMe...ializedfile
2017-07-11-05:02:20 Scanned: apache
2017-07-11-05:02:20 Scanned: topicPartit...ializedfile
2017-07-11-05:02:20 Scanned: common
2017-07-11-05:02:20 Scanned: clients
2017-07-11-05:02:20 Scanned: test
2017-07-11-05:02:20 Scanned: kafka
2017-07-11-05:02:21 Scanned: log4j.properties
2017-07-11-05:02:21 Scanned: NodeApiVersionsTest.java
2017-07-11-05:02:21 Scanned: MockClient.java
2017-07-11-05:02:21 Scanned: producer
2017-07-11-05:02:21 Scanned: admin
2017-07-11-05:02:21 Scanned: consumer
2017-07-11-05:02:21 Scanned: ApiVersionsTest.java
2017-07-11-05:02:21 Scanned: doap_Kafka.rdf
2017-07-11-05:02:21 Scanned: NetworkClientTest.java
2017-07-11-05:02:21 Scanned: build.gradle
