2017-07-11-13:08:05 Scanning files for: licenses, copyrights with 8 process(es)...
2017-07-11-13:08:05 Building license detection index...
2017-07-11-05:08:07 Done.
2017-07-11-05:08:07 Scanning files...
2017-07-11-05:08:10 Scanned: libjson
2017-07-11-05:08:10 Scanned: ._JSONOptions.h
2017-07-11-05:08:10 Scanned: _internal
2017-07-11-05:08:10 Scanned: Getting+Started
2017-07-11-05:08:10 Scanned: TestSuite2
2017-07-11-05:08:10 Scanned: Source
2017-07-11-05:08:10 Scanned: Dependencies
2017-07-11-05:08:11 Scanned: TestSuite
2017-07-11-05:08:11 Scanned: License.txt
2017-07-11-05:08:11 Scanned: JSONValidator
2017-07-11-05:08:11 Scanned: JSONDebug
2017-07-11-05:08:11 Scanned: JSON_Base64
2017-07-11-05:08:11 Scanned: NumberToString
2017-07-11-05:08:11 Scanned: JSONGlobals
2017-07-11-05:08:11 Scanned: BaseTest.h
2017-07-11-05:08:11 Scanned: libjson.h
2017-07-11-05:08:11 Scanned: isValidNamedObject.cpp
2017-07-11-05:08:11 Scanned: isValidNamedObject.h
2017-07-11-05:08:11 Scanned: isValidRoot.cpp
2017-07-11-05:08:11 Scanned: isValidArray.h
2017-07-11-05:08:11 Scanned: libjson.vcproj%7E
2017-07-11-05:08:11 Scanned: makefile
2017-07-11-05:08:11 Scanned: securityTest.h
2017-07-11-05:08:11 Scanned: libjson.vcproj
2017-07-11-05:08:11 Scanned: isValidObject.h
2017-07-11-05:08:11 Scanned: isValidPartialRoot.h
2017-07-11-05:08:11 Scanned: isValidMember.cpp
2017-07-11-05:08:11 Scanned: isValidObject.cpp
2017-07-11-05:08:11 Scanned: isValidNumber.h
2017-07-11-05:08:11 Scanned: isValidRoot.h
2017-07-11-05:08:11 Scanned: securityTest.cpp
2017-07-11-05:08:11 Scanned: isValidPartialRoot.cpp
2017-07-11-05:08:11 Scanned: JSONOptions.h
2017-07-11-05:08:11 Scanned: Resources
2017-07-11-05:08:11 Scanned: isValidString.h
2017-07-11-05:08:11 Scanned: isValidString.cpp
2017-07-11-05:08:11 Scanned: isValidArray.cpp
2017-07-11-05:08:11 Scanned: isValidMember.h
2017-07-11-05:08:11 Scanned: validyMacros.h
2017-07-11-05:08:11 Scanned: JSON_ASSERT.h
2017-07-11-05:08:11 Scanned: validyMacros.h%7E
2017-07-11-05:08:11 Scanned: JSON_FAIL.h
2017-07-11-05:08:11 Scanned: JSON_FAIL_SAFE.h
2017-07-11-05:08:11 Scanned: JSON_ASSERT_SAFE.h
2017-07-11-05:08:11 Scanned: JSON_ASSERT.cpp
2017-07-11-05:08:11 Scanned: JSON_FAIL.cpp
2017-07-11-05:08:11 Scanned: JSON_ASSERT_SAFE.cpp
2017-07-11-05:08:11 Scanned: JSON_FAIL_SAFE.cpp
2017-07-11-05:08:11 Scanned: json_decode64.cpp
2017-07-11-05:08:11 Scanned: json_encode64.h
2017-07-11-05:08:11 Scanned: json_decode64.h
2017-07-11-05:08:11 Scanned: _ftoa.h
2017-07-11-05:08:11 Scanned: json_encode64.cpp
2017-07-11-05:08:11 Scanned: _uitoa.h
2017-07-11-05:08:11 Scanned: getLenSize.h
2017-07-11-05:08:11 Scanned: _itoa.h
2017-07-11-05:08:11 Scanned: _ftoa.cpp
2017-07-11-05:08:11 Scanned: isNumeric.h
2017-07-11-05:08:11 Scanned: _areFloatsEqual.cpp
2017-07-11-05:08:11 Scanned: _areFloatsEqual.h
2017-07-11-05:08:11 Scanned: getLenSize.cpp
2017-07-11-05:08:11 Scanned: jsonSingleton.h
2017-07-11-05:08:11 Scanned: _atof.h
2017-07-11-05:08:11 Scanned: _uitoa.cpp
2017-07-11-05:08:11 Scanned: ._JSONWorker.cpp
2017-07-11-05:08:11 Scanned: ._JSONValidator.h
2017-07-11-05:08:11 Scanned: jsonSingleton.cpp
2017-07-11-05:08:12 Scanned: _itoa.cpp
2017-07-11-05:08:12 Scanned: ._JSONGlobals.h
2017-07-11-05:08:12 Scanned: _atof.cpp
2017-07-11-05:08:12 Scanned: JSONStats.h
2017-07-11-05:08:12 Scanned: JSON_Base64.h
2017-07-11-05:08:12 Scanned: ._JSONNode_Mutex.cpp
2017-07-11-05:08:12 Scanned: JSONDefs.h
2017-07-11-05:08:12 Scanned: ._libjson.cpp
2017-07-11-05:08:12 Scanned: JSONNode.cpp
2017-07-11-05:08:12 Scanned: JSONPreparse.cpp
2017-07-11-05:08:12 Scanned: ._JSONAllocator.h
2017-07-11-05:08:12 Scanned: ._JSON_Base64.h
2017-07-11-05:08:12 Scanned: ._JSONSharedString.h
2017-07-11-05:08:12 Scanned: isNumeric.cpp
2017-07-11-05:08:12 Scanned: JSONIterators.cpp
2017-07-11-05:08:12 Scanned: JSONValidator.h
