2017-06-28-09:45:09 Scanning files for: licenses, copyrights with 8 process(es)...
2017-06-28-09:45:09 Building license detection index...
2017-06-28-01:47:32 Done.
2017-06-28-01:47:33 Scanning files...
2017-06-28-01:47:45 Scanned: CONTRIBUTORS.md
2017-06-28-01:47:46 Scanned: CMakeLists.txt
2017-06-28-01:47:47 Scanned: cJSON-master
2017-06-28-01:47:48 Scanned: cJSON_Utils.h
2017-06-28-01:47:48 Scanned: CHANGELOG.md
2017-06-28-01:47:49 Scanned: Makefile
2017-06-28-01:47:49 Scanned: fuzzing
2017-06-28-01:47:49 Scanned: tests
2017-06-28-01:47:49 Scanned: .github
2017-06-28-01:47:49 Scanned: library_config
2017-06-28-01:47:49 Scanned: afl-prepare-linux.sh
2017-06-28-01:47:49 Scanned: cJSON.h
2017-06-28-01:47:50 Scanned: afl.sh
2017-06-28-01:47:50 Scanned: README.md
2017-06-28-01:47:50 Scanned: CMakeLists.txt
2017-06-28-01:47:50 Scanned: inputs
2017-06-28-01:47:50 Scanned: .travis.yml
2017-06-28-01:47:50 Scanned: test.c
2017-06-28-01:47:50 Scanned: LICENSE
2017-06-28-01:47:51 Scanned: cJSON_Utils.c
2017-06-28-01:47:51 Scanned: test7
2017-06-28-01:47:51 Scanned: afl.c
2017-06-28-01:47:51 Scanned: test10
2017-06-28-01:47:52 Scanned: cJSON.c
2017-06-28-01:47:53 Scanned: test11
2017-06-28-01:47:57 Scanned: json.dict
2017-06-28-01:47:57 Scanned: test3.uf
2017-06-28-01:47:57 Scanned: test3
2017-06-28-01:47:58 Scanned: test8
2017-06-28-01:47:58 Scanned: test2
2017-06-28-01:47:58 Scanned: test9
2017-06-28-01:47:58 Scanned: parse_value.c
2017-06-28-01:47:58 Scanned: parse_hex4.c
2017-06-28-01:47:58 Scanned: parse_examples.c
2017-06-28-01:47:58 Scanned: test3.bu
2017-06-28-01:47:59 Scanned: old_utils_tests.c
2017-06-28-01:47:59 Scanned: misc_tests.c
2017-06-28-01:47:59 Scanned: test4
2017-06-28-01:47:59 Scanned: test1
2017-06-28-01:47:59 Scanned: print_string.c
2017-06-28-01:47:59 Scanned: parse_array.c
2017-06-28-01:47:59 Scanned: parse_number.c
2017-06-28-01:47:59 Scanned: CMakeLists.txt
2017-06-28-01:47:59 Scanned: parse_object.c
2017-06-28-01:47:59 Scanned: compare_tests.c
2017-06-28-01:47:59 Scanned: common.c
2017-06-28-01:47:59 Scanned: print_value.c
2017-06-28-01:47:59 Scanned: parse_string.c
2017-06-28-01:47:59 Scanned: test5
2017-06-28-01:47:59 Scanned: test3.uu
2017-06-28-01:47:59 Scanned: test6
2017-06-28-01:47:59 Scanned: unity
2017-06-28-01:47:59 Scanned: json-patch-tests
2017-06-28-01:47:59 Scanned: parse_with_opts.c
2017-06-28-01:47:59 Scanned: inputs
2017-06-28-01:48:00 Scanned: auto
2017-06-28-01:48:00 Scanned: src
2017-06-28-01:48:00 Scanned: examples
2017-06-28-01:48:00 Scanned: release
2017-06-28-01:48:00 Scanned: test
2017-06-28-01:48:00 Scanned: extras
2017-06-28-01:48:00 Scanned: docs
2017-06-28-01:48:00 Scanned: .travis.yml
2017-06-28-01:48:00 Scanned: common.h
2017-06-28-01:48:00 Scanned: print_array.c
2017-06-28-01:48:00 Scanned: generate_config.yml
2017-06-28-01:48:00 Scanned: json_patch_tests.c
2017-06-28-01:48:00 Scanned: colour_reporter.rb
2017-06-28-01:48:00 Scanned: print_number.c
2017-06-28-01:48:00 Scanned: print_object.c
2017-06-28-01:48:00 Scanned: test_file_filter.rb
2017-06-28-01:48:00 Scanned: README.md
2017-06-28-01:48:00 Scanned: type_sanitizer.rb
2017-06-28-01:48:00 Scanned: parse_output.rb
2017-06-28-01:48:00 Scanned: unity_test_summary.py
2017-06-28-01:48:00 Scanned: stylize_as_junit.rb
2017-06-28-01:48:01 Scanned: unity_to_junit.py
2017-06-28-01:48:01 Scanned: unity_test_summary.rb
2017-06-28-01:48:01 Scanned: example_3
2017-06-28-01:48:01 Scanned: example_2
2017-06-28-01:48:01 Scanned: colour_prompt.rb
2017-06-28-01:48:01 Scanned: example_1
2017-06-28-01:48:01 Scanned: generate_module.rb
2017-06-28-01:48:01 Scanned: rakefile.rb
2017-06-28-01:48:01 Scanned: readme.txt
2017-06-28-01:48:01 Scanned: target_gcc_32.yml
2017-06-28-01:48:01 Scanned: helper
2017-06-28-01:48:01 Scanned: generate_test_runner.rb
2017-06-28-01:48:01 Scanned: src
2017-06-28-01:48:01 Scanned: test
2017-06-28-01:48:01 Scanned: UnityHelper.c
2017-06-28-01:48:01 Scanned: UnityHelper.h
2017-06-28-01:48:01 Scanned: ProductionCode.h
2017-06-28-01:48:01 Scanned: ProductionCode2.h
2017-06-28-01:48:01 Scanned: ProductionCode2.c
2017-06-28-01:48:01 Scanned: TestProductionCode2.c
2017-06-28-01:48:01 Scanned: ProductionCode.c
2017-06-28-01:48:01 Scanned: readme.txt
2017-06-28-01:48:01 Scanned: src
2017-06-28-01:48:01 Scanned: test
2017-06-28-01:48:01 Scanned: ProductionCode.h
2017-06-28-01:48:01 Scanned: ProductionCode.c
2017-06-28-01:48:01 Scanned: ProductionCode2.h
2017-06-28-01:48:01 Scanned: makefile
2017-06-28-01:48:01 Scanned: ProductionCode2.c
2017-06-28-01:48:01 Scanned: TestProductionCode.c
2017-06-28-01:48:01 Scanned: test_runners
2017-06-28-01:48:01 Scanned: rakefile_helper.rb
2017-06-28-01:48:01 Scanned: TestProductionCode2.c
2017-06-28-01:48:01 Scanned: TestProduc...ode_Runner.c
2017-06-28-01:48:01 Scanned: all_tests.c
2017-06-28-01:48:01 Scanned: TestProduc...de2_Runner.c
2017-06-28-01:48:01 Scanned: src
2017-06-28-01:48:01 Scanned: readme.txt
2017-06-28-01:48:01 Scanned: ProductionCode.h
2017-06-28-01:48:01 Scanned: test
2017-06-28-01:48:01 Scanned: ProductionCode2.h
2017-06-28-01:48:01 Scanned: makefile
2017-06-28-01:48:02 Scanned: ProductionCode2.c
2017-06-28-01:48:02 Scanned: TestProductionCode.c
2017-06-28-01:48:02 Scanned: test_runners
2017-06-28-01:48:02 Scanned: unity_config.h
2017-06-28-01:48:02 Scanned: TestProductionCode2.c
2017-06-28-01:48:02 Scanned: TestProduc...ode_Runner.c
2017-06-28-01:48:02 Scanned: ProductionCode.c
2017-06-28-01:48:02 Scanned: TestProduc...de2_Runner.c
2017-06-28-01:48:02 Scanned: build.info
2017-06-28-01:48:02 Scanned: version.info
2017-06-28-01:48:02 Scanned: unity.c
2017-06-28-01:48:02 Scanned: tests
2017-06-28-01:48:02 Scanned: TestProductionCode.c
2017-06-28-01:48:02 Scanned: spec
2017-06-28-01:48:02 Scanned: targets
2017-06-28-01:48:02 Scanned: testdata
2017-06-28-01:48:02 Scanned: expectdata
2017-06-28-01:48:02 Scanned: Makefile
2017-06-28-01:48:02 Scanned: rakefile
2017-06-28-01:48:02 Scanned: .rubocop.yml
2017-06-28-01:48:02 Scanned: gcc_auto_limits.yml
2017-06-28-01:48:02 Scanned: iar_arm_v4.yml
2017-06-28-01:48:02 Scanned: testparameterized.c
2017-06-28-01:48:02 Scanned: gcc_auto_stdint.yml
2017-06-28-01:48:02 Scanned: generate_...file_spec.rb
2017-06-28-01:48:02 Scanned: rakefile_helper.rb
2017-06-28-01:48:02 Scanned: iar_msp430.yml
2017-06-28-01:48:03 Scanned: iar_armco...9B92_v5_4.yml
2017-06-28-01:48:03 Scanned: clang_strict.yml
2017-06-28-01:48:03 Scanned: iar_cortexm3_v5.yml
2017-06-28-01:48:03 Scanned: clang_file.yml
2017-06-28-01:48:03 Scanned: iar_arm_v5.yml
2017-06-28-01:48:03 Scanned: gcc_manual_math.yml
2017-06-28-01:48:03 Scanned: gcc_32.yml
2017-06-28-01:48:03 Scanned: iar_arm_v5_3.yml
2017-06-28-01:48:03 Scanned: gcc_64.yml
2017-06-28-01:48:03 Scanned: iar_sh2a_v6.yml
2017-06-28-01:48:03 Scanned: Defs.h
2017-06-28-01:48:03 Scanned: cmock.h
2017-06-28-01:48:03 Scanned: hitech_picc18.yml
2017-06-28-01:48:03 Scanned: CException.h
2017-06-28-01:48:03 Scanned: testRunner...ratorSmall.c
2017-06-28-01:48:03 Scanned: testRunnerGenerator.c
2017-06-28-01:48:03 Scanned: mockMock.h
2017-06-28-01:48:03 Scanned: testsample_head1.h
2017-06-28-01:48:03 Scanned: testsample_mock_run2.c
2017-06-28-01:48:03 Scanned: testsample_run2.c
2017-06-28-01:48:03 Scanned: testRunner...rWithMocks.c
2017-06-28-01:48:03 Scanned: testsample_mock_new2.c
2017-06-28-01:48:03 Scanned: testsample_new1.c
2017-06-28-01:48:03 Scanned: testsample_mock_cmd.c
2017-06-28-01:48:03 Scanned: testsample_head1.c
2017-06-28-01:48:03 Scanned: testsample_mock_run1.c
2017-06-28-01:48:03 Scanned: testsample_yaml.c
2017-06-28-01:48:03 Scanned: testsample_mock_new1.c
2017-06-28-01:48:03 Scanned: testsample_cmd.c
2017-06-28-01:48:03 Scanned: testsample_mock_def.c
2017-06-28-01:48:03 Scanned: testsample_mock_head1.h
2017-06-28-01:48:03 Scanned: testsample_run1.c
2017-06-28-01:48:03 Scanned: testsample_new2.c
2017-06-28-01:48:03 Scanned: testsample_mock_param.c
2017-06-28-01:48:03 Scanned: testsample_param.c
2017-06-28-01:48:03 Scanned: eclipse
2017-06-28-01:48:03 Scanned: fixture
2017-06-28-01:48:03 Scanned: testsample_mock_yaml.c
2017-06-28-01:48:04 Scanned: testsample_mock_head1.c
2017-06-28-01:48:04 Scanned: error_parsers.txt
2017-06-28-01:48:04 Scanned: test_gene...st_runner.rb
2017-06-28-01:48:04 Scanned: testsample_def.c
2017-06-28-01:48:04 Scanned: src
2017-06-28-01:48:04 Scanned: test
2017-06-28-01:48:04 Scanned: readme.txt
2017-06-28-01:48:04 Scanned: unity_fixture_internals.h
2017-06-28-01:48:04 Scanned: rakefile.rb
2017-06-28-01:48:04 Scanned: unity_fixt..._overrides.h
2017-06-28-01:48:04 Scanned: template_fixture_tests.c
2017-06-28-01:48:04 Scanned: unity_output_Spy.h
2017-06-28-01:48:04 Scanned: unity_fixture.h
2017-06-28-01:48:04 Scanned: rakefile_helper.rb
