2017-06-23-09:30:15 Scanning files for: licenses, copyrights with 8 process(es)...
2017-06-23-09:30:15 Building license detection index...
2017-06-23-01:31:07 Done.
2017-06-23-01:31:07 Scanning files...
2017-06-23-01:31:08 Scanned: libjson
2017-06-23-01:31:08 Scanned: ._JSONOptions.h
2017-06-23-01:31:08 Scanned: _internal
2017-06-23-01:31:08 Scanned: Getting+Started
2017-06-23-01:31:08 Scanned: libjson.vcproj
2017-06-23-01:31:08 Scanned: TestSuite2
2017-06-23-01:31:08 Scanned: Source
2017-06-23-01:31:08 Scanned: Dependencies
2017-06-23-01:31:09 Scanned: TestSuite
2017-06-23-01:31:09 Scanned: libjson.vcproj%7E
2017-06-23-01:31:09 Scanned: JSONValidator
2017-06-23-01:31:09 Scanned: JSONDebug
2017-06-23-01:31:09 Scanned: JSON_Base64
2017-06-23-01:31:09 Scanned: NumberToString
2017-06-23-01:31:09 Scanned: JSONGlobals
2017-06-23-01:31:09 Scanned: BaseTest.h
2017-06-23-01:31:09 Scanned: isValidArray.h
2017-06-23-01:31:09 Scanned: isValidNamedObject.cpp
2017-06-23-01:31:09 Scanned: License.txt
2017-06-23-01:31:09 Scanned: isValidRoot.cpp
2017-06-23-01:31:09 Scanned: isValidNamedObject.h
2017-06-23-01:31:09 Scanned: isValidPartialRoot.h
2017-06-23-01:31:09 Scanned: libjson.h
2017-06-23-01:31:09 Scanned: securityTest.h
2017-06-23-01:31:09 Scanned: isValidObject.h
2017-06-23-01:31:09 Scanned: isValidMember.cpp
2017-06-23-01:31:09 Scanned: securityTest.cpp
2017-06-23-01:31:09 Scanned: isValidNumber.h
2017-06-23-01:31:09 Scanned: isValidObject.cpp
2017-06-23-01:31:09 Scanned: makefile
2017-06-23-01:31:09 Scanned: isValidRoot.h
2017-06-23-01:31:09 Scanned: isValidString.h
2017-06-23-01:31:09 Scanned: isValidPartialRoot.cpp
2017-06-23-01:31:09 Scanned: isValidMember.h
2017-06-23-01:31:09 Scanned: Resources
2017-06-23-01:31:09 Scanned: JSONOptions.h
2017-06-23-01:31:09 Scanned: isValidArray.cpp
2017-06-23-01:31:09 Scanned: validyMacros.h
2017-06-23-01:31:09 Scanned: JSON_ASSERT.h
2017-06-23-01:31:09 Scanned: JSON_FAIL.h
2017-06-23-01:31:09 Scanned: JSON_ASSERT.cpp
2017-06-23-01:31:09 Scanned: isValidString.cpp
2017-06-23-01:31:09 Scanned: JSON_FAIL_SAFE.h
2017-06-23-01:31:09 Scanned: JSON_FAIL.cpp
2017-06-23-01:31:09 Scanned: JSON_ASSERT_SAFE.h
